question_id,sample_idx,token_step,target_think_tokens,is_correct
0,0,50,100,True
0,1,50,366,True
0,2,50,633,True
0,3,50,900,True
0,0,100,100,True
0,1,100,366,True
0,2,100,633,True
0,3,100,900,True
0,0,150,100,True
0,1,150,366,True
0,2,150,633,True
0,3,150,900,True
0,0,200,100,True
0,1,200,366,True
0,2,200,633,True
0,3,200,900,True
0,0,250,100,True
0,1,250,366,True
0,2,250,633,True
0,3,250,900,True
0,0,300,100,True
0,1,300,366,True
0,2,300,633,True
0,3,300,900,True
0,1,350,366,True
0,2,350,633,True
0,3,350,900,True
0,1,400,366,True
0,2,400,633,True
0,3,400,900,True
0,1,450,366,True
0,2,450,633,True
0,3,450,900,True
0,1,500,366,True
0,2,500,633,True
0,3,500,900,True
0,2,550,633,True
0,3,550,900,True
0,2,600,633,True
0,3,600,900,True
0,2,650,633,True
0,3,650,900,True
0,2,700,633,True
0,3,700,900,True
0,2,750,633,True
0,3,750,900,True
0,2,800,633,True
0,3,800,900,True
0,2,850,633,True
0,3,850,900,True
0,2,900,633,True
0,3,900,900,True
0,3,950,900,True
0,3,1000,900,True
0,3,1050,900,True
0,3,1100,900,True
